Index,ari,name,verse,title
18,1:4:2,MHB 4:2,". Nyame, W’ehumbɔbɔr tsim daa;
Onnyiewiei nokwar dwir W'asɛm: 
	Hallelujah!","Isaac Watts, 1674 -1748"
19,1:5:1,MHB 5:1,". HOM mma wiadze afanan nyina ntow.
Me Nyame Hen!
Ɔsor mpo nnkrɔn biara a
N'ayɛyi nnkodu hɔ;
Asaase nndɔ pii a
N'ayɛyi nnkɛtra hɔ.
Horn mma wiadze afanan nyina ntow.
Me Nyame, Hen!","George Herbert, 1593-1632"
20,1:5:2,MHB 5:2,". HOM mma wiadze afanan nyina ntow:
Me Nyame Hen!
Asɔr nkeka m'ntow ndwom,
Biribiara nntum nnsiw kwan:
Dza okyen ne nyina nye dɛ
Akoma a abotow mbordo;
Hom mma wiadze afanan nyina ntow:
Me Nyame, Hen!","George Herbert, 1593-1632"
21,1:6:1,MHB 6:1,". DOMANKOMA ! Wo sor tsebea
Yɛ fɛw dɛ mbrɛ osɛ Nyame:
Ɔtra wimuwimu n'ekyir noho.
Mbrɛ nworaba wɔkɔ aprɔw.","Isaac Watts, 1674 -1748"
22,1:6:2,MHB 6:2,". Bɔfopanyin rotow W'Ndwom a.
N'enyim suma n'atsaban mu;
Ahotsewfo a woetwa ehyia.
Bom famu wɔ hɔ nyina som Wo.","Isaac Watts, 1674 -1748"
23,1:6:3,MHB 6:3,". Nyame, dɛtse na nso nyɛ dɛn?
Hɛn so yɛbɔsom hen Bɔfo:
Yefi bɔn na huntuma m'frɛ Wo
Kɛse, Kronkronyi, Abɔso.","Isaac Watts, 1674 -1748"
24,1:6:4,MHB 6:4,". Wɔatse Wo nka wɔ ekyirkyir,
Mbɔtoaba esua Wo dzin bɔ;
Na Wo nyansaa N'enyimnyam no
Ma hen adwen nyina tɔ sin.","Isaac Watts, 1674 -1748"
25,1:6:5,MHB 6:5,". Nyame wo sɔr, nyimpa wɔ ase,
Hɛn ndwom nyɛ tsia, na hɛn nsɛm nsuar,
Wo ho enyidzi sianka hɛn ndwom,
Hɛn ayɛyi ka hɛn anomu.","Isaac Watts, 1674 -1748"
26,1:7:1,MHB 7:1,". O ƆSORSOR Hen, fi sor hwɛ famu ha,
Boa hen yɛntow W'ehumbɔbɔor nye dɔ,
Ɔrepem dɛ osunsuan ebunkam hɛn do,
Naaso gu do ara dze pii kã hɛn ho.","Charles Wesley, 1707-88."
27,1:7:2,MHB 7:2,". Hen nkwa Nyankopɔn, yɛtsew Wo dzin ho;
Hɛn edwuma nye dɛ yɛper tahye Wo dzin,
Gye hɛn ndaase wo adom a edze bɔɔ hɛn,
Atseasefo nyina bɛkyere W'ayɛyi.","Charles Wesley, 1707-88."
28,1:7:5,MHB 7:5,". Wo dɔ ntsi yɛtow ndwom dzi ehurusi.
Yɛnye sor abɔfo ma hɛn ndze do;
Agyedzifo nyina bɔtonton Wo dɔ
Mbersantsen mfesantsen a ɔmmbɔ adze da","Charles Wesley, 1707-88."
29,1:7:34,MHB 7:34,". Hɛn Egya, hɛn Wura, eyɛ Otumfo,
W'asɛm a akora hɛn ntsi na yɛrosor yi;
Ndzepa a yenya nyina fi Wo nko hɔ ba,
Hɛn gyirama na hɛn nkwa yɛdze bɔsom Wo.
	
. Dza ɔkyen ne nyina, yetow W’ayamuyie.
Agye wiadze a ayew efi bɔn na yaw m'.
Edze Wo Ba abɔ werdam apon wiadze,
De omfa hen a yetwer No mbra hen sor fie.","Charles Wesley, 1707-88."
30,1:8:1,MHB 8:1,". HOM nkotow Hen nyimnyamfo a ɔwɔ sor;
Mfa ndaase nkamfo No tum nye No dɔ;
Hɛn kyɛm nye hɛn Gyefo, Mbersantsen Panyin,
Ahoɔfɛw nye No buw, ayɛyi abɔ N' do.","Robert Grant, 1783-1838."
31,1:8:2,MHB 8:2,". Hom ntow No tum nye N'adom so ho ndwom:
N'atar nye ekan, No buw pretetee;
N'ebufuw tseaseanam hye senaman fua tum,
No kwan yɛ sum wɔ ehum atsaban do.","Robert Grant, 1783-1838."
32,1:8:3,MHB 8:3,". Asaase nye N'anwanwadze a wɔnnka:
Otumfo! Wo tum bɔɔ adze fi tsetse;
Nam 'mom a wɔnndan n' da etsim no pintsinn,
Na edze epo abᴐ no ho abᴐmprᴐw.","Robert Grant, 1783-1838."
33,1:8:4,MHB 8:4,". W'ayamúyie no gyirama hɛn botúm aká?
Ogú ahom wɛ wimú, ɔhyerɛn kan mu;
Ofi akoko do pem siansian sar mu,
Na ɔsɔw fénemfénem wɔ bɔw nye
nyankom mu.","Robert Grant, 1783-1838."
34,1:8:5,MHB 8:5,". Huntuma m' mbá a yɛnnkye so yɛyɛ mbérɛw,
Hɛn wérɛ hyɛ Wo mu, W'ayamúyie
mmpada;
Mbrɛ W'adom dua gow a otsim hɔ dú ewiei,
Hɛn Bɔfo, hɛn Gyefo, Pomfo na Dɔfo!","Robert Grant, 1783-1838."
35,1:8:6,MHB 8:6,". Tum a wonnsusu! Dɔ a onnyi kabea!
Mbér a abɔfo dzé enyigye tow ndwom no,
Abɔdzé adedafamú so nam hɛn mbérɛwyɛ m'
Bɔtonton Wo atow ndwom eyi W' ayaw!
				   Amen.","Robert Grant, 1783-1838."
36,1:9:1,MHB 9:1,". O SƆR Ewuradze wɔ krɔnkrɔnyɛ fɛɛfɛw mu
Kotow N'enyim, bɔ N'enyimnyam dawur; 
Fa setsie mapa ɔnye mbrɛhoadze huanhuam,
Kotow huhor No, Ne dzin nye Ewuradze.","John Samuel Bewley Monsell, 1811-75"
37,1:9:2,MHB 9:2,". Fa w'adwendwen adzesoa to N'ananadze, 
Ɔbɔsoa ama wo wɔ N'akoma mu,
Ɔbɛkyekye wo werɛ, na oetsie wo mpaabɔ, 
Na oegya w' taataa dɛ.mbrɛ oye ma w'.","John Samuel Bewley Monsell, 1811-75"
38,1:9:3,MHB 9:3,". Mma nnsuro dɛ ebɛhɛn N'abangua do hɔ, 
Dɛ ahodze a ewɔ no suar ntsi:
Afɔrbɔdze a wɔdze gu N'afɔrmbukyia do 
Nye nokwar fɛɛfɛw na ɔdɔ mapa.","John Samuel Bewley Monsell, 1811-75"
39,1:9:4,MHB 9:4,". Yinom, sɛ yɛdze ba suro na ahopopo m' mpo a, 
Ɔbɛgye wɔ dzin a ɔsorn bo no ntsi; 
Ɔbɛpepa hɛn nyinsu, ɔama yeedzi dɛw, 
Oetu hɛn suro, ɔarna hɛn awerɛhyɛm'.","John Samuel Bewley Monsell, 1811-75"
40,1:9:5,MHB 9:5,". O sɔr Ewuradze wɔ krɔnkrɔnyɛ fɛɛfɛw mu!
Kotow N'enyim, bɔ N'enyimnyam dawur;
Fa setsie mapa ɔnye mbrɛhoadze huanhuam,
Kotow huhor No, Ne dzin nye Ewuradze.
Amen.","John Samuel Bewley Monsell, 1811-75"
41,1:10:1,MHB 10:1,". HƐN akoma, nsa nye ndze
Yɛdze da nyame ase;
Ɔayɛ anwanwadze,
Wiadze dzi ho ehurusi;
Ofi hɛn na ne yamu,
Ɔdze dɔ akyɛ dze
Ehyira hɛen kwan nyina m',
Na ɔda ho yɛ hɛndze.","Martin Rinkart, 1586-1649"
42,1:10:2,MHB 10:2,". Ɔkyɛso Nyankopɔn
Ɔnka hɛn ho daa nyina,
Ɔmfa ahotɔ krɔnn,
Ɔndom hɛn akoma daa,
Ɔnkora hɛn N'adom mu,
Ongya hɛn nkɔntɔnkye m',
Na ɔmpa hɛn mbusu,
Sesei na ndaamba so.","Martin Rinkart, 1586-1649"
43,1:10:3,MHB 10:3,". Ayεyi nye ndaase
Ɔnkã Nyame sor Egya,
Nye Ne Ba Kortonoo,
Nye Nyame Sunsum Krɔnkrɔn:
Ɔkorsa Nyankopɔn
Sor nye asaase sɔr No;
Mbrɛ ahyɛse ɔtse n'.	
Ɔtse dɛm afebɔɔ.    Amen.","Martin Rinkart, 1586-1649"
44,1:11:1,MHB 11:1,". YƐDZE enyigye sɔr, dzi dɛw, yɛtow ndwom,
Yɛdze hɛn siar akoma na hɛn ndze aba,
Ndaase asɛm dadaw no bodu Wo tsenabea,
Ɔwo a eyɛ enyimnyam Hɛn, Nyame yamuyiefo.","George Rawson, 1807-89"
45,1:11:2,MHB 11:2,". Dza ɔfata W' yɛdze ma W', enyidzi mapa,
Yɛnye W'abɔdze nyina, sor, asaase na po,
Bɔ m' dze W'ayɛyi ma W' wɔ wiadze mbea nyina,
Yɛdze ɔnosɛɛ tonton, huhor Wo daa nyina.","George Rawson, 1807-89"
46,1:11:3,MHB 11:3,". Wo Sunsum woo hɛn fofor, Wo Ba n' gyee hɛn,
Wo mba dzi Wo nyi wɔ dza ayɛ nyina ntsi,
Egya, Wo mba resan aba dɔ na kan m'.
Yɛreper atonton Wo dɛ mbrɛ ɔsɛ.","George Rawson, 1807-89"
47,1:11:4,MHB 11:4,". Yɛka abɔfo ho na yɛtow Wo ndwom,
Alleluia! Amà asaase aagye do,
Amen! Enyimnyam nka Wo sor nye ase,
Domankoma dɔ a ɔpon hɛn, konyimdzifo!","George Rawson, 1807-89"
48,1:12:1,MHB 12:1,". Me kra, yi ɔsor hen ayɛw, 
Fa w' ayɛdze bra N' enyim;
Ɔapon wo, dze wo bɔn akyɛ w',
Woana mbɔ nyi No ayɛw?
Yi No ayɛw!
Yi bɛkyebo Hen ayɛw.","Henry Francis Lyte, 1796-1847"
49,1:12:234,MHB 12:234,". Yi N' ayɛw, Nadom na enyimpa 
Hwɛɛ egyanom ahohiam';
Yi No ayɛw, ɔnnsakyer da,
Ɔka enyim nyaa, ohyira ntsɛm:
Yi No ayɛw!
Nyimnyamfo wɔ nokwardzim'.
 
. Ɔhwɛ hɛn, dze fir hɛn dɛ egya; 
Onyim hɛn mberɛwyɛ dodow;
Ɔma hɛn do dɔ mu ara,
Ɔgye hɛn atamfo nyina nsam',
Yi No ayɛw!
Dɛ mbrɛ N' adom pem mber nyina.
 
. Sor abɔfo hom nhuhor No; 
Hom hu N' enyim na enyim;
Ewia, bosoom, hom nkotow, No,
Mber na mbea nyinam' abɔdze,
Hom nyi N' ayɛw!
Hom nye hɛn nyi Nyame ayɛw.    Amen.","Henry Francis Lyte, 1796-1847"
50,1:13:12,MHB 13:12,". ƆSORSOR, hom nyi Ewuradze ayɛw; 
Ewia, bosoom, dzi N'enyim dɛw; 
Nworaba, kan, hom ntonton No. 
 
. Yi Ewuradze ayɛw na ɔakasa a, 
Wiadze tsiee ne ndze kɛse n'; 
mbrasɛm a wonnkobu do da, 
Wɔ hɔ ma hɛn akwankyerɛ.",Anonymous: Foundling Hospital Collection. 1796.
51,1:13:34,MHB 13:34,". Yi Ewuradze ayɛw, nyimnyamfo no a;
 N'anohoba nnyɛ gyan da; 
Ɔama N'ahotsewfo konyim; 
Bɔn na wu nnkedzi nyim da. 
 
. Yi hɛn nkwagye Nyame ayɛw; 
Sor dɔm mpaa mu nka No tum; 
Sor na asaase nye abɔdze nyina
Ntonton No, nhuhor Ne dzin.   Amen.",Anonymous: Foundling Hospital Collection. 1796.
52,1:14:1,MHB 14:1,". HOM nyi sor Hen no ayɛw,
Ɔkora N'aban wɔ ase;
Yi ɔdɔ Nyame n'ayɛw,
Da N'akeseyɛ edzi;
Yi N'ayɛw, Ne ndzeyɛɛ ho,
Kamfo No tum kɛse no:
Ndzepa nyina fir No ho,
Sor na asaase ntonton N'.","Charles Wesley, 1707-88."
53,1:14:2,MHB 14:2,". Hom mfa nsanku na ndwom pa 
Nkamfo daa daa Nyame n',
Akasaa na akyem ndze mbɔ m;
Nhur Ne dzin kɛse mo:
Nyia ɔwɔ ndze biara ntonton N';
Ɔsor edwindze nyina,
Hom mfa asokwadze nyina mbra,
Mbɔtow N'akoma m'ndwom.","Charles Wesley, 1707-88."
54,1:14:3,MHB 14:3,". Wɔmma abɔdze nyina ntow ndwom,
Mma Nyia wɔtse No mu n',
Wɔnhyɛ hɔn Bɔfo enyimnyam,
Wongu N'enyim ebiritsi:
Hom ntsew Ne dzin ho wɔ ase,
Dɛ mbrɛ wɔyɛ no wɔ sor;
Wɔmma abɔdze nyina ntonton 
Ewuradze aber nyina.   Amen.","Charles Wesley, 1707-88."
55,1:15:1,MHB 15:1,". NHYIRA nka tsease Nyame!
N-hyira nka Ne dzin,
Ɔwɔ hɔ na ɔda ho wɔ hɔ,
Ɔtse dɛm daa!
Daapem Nyame kor no
Afei oeyi Noho:
Ɔwo nye Ahyɛse na Ewiei,
Onnyiewiei nye W'.","Max Landsberg, 1845-1928; and Newton Mann, 1836-1926."
56,1:15:2,MHB 15:2,". Onnyi bɔbea naaso
Abɔdze nyim N'adɔe;
Krɔnkrɔnnyɛ mu a, wiadze nnkotum
Akyerɛ Nedze n'.
Ɔyɛ adze nyina Wura!
Abɔdze yi N'ayɛw,
Beebiara ɔsor nye ase
Ye N'apɛdze.","Max Landsberg, 1845-1928; and Newton Mann, 1836-1926."
57,1:15:3,MHB 15:3,". No Sunsum no pem kwa
Kɔ beebiara a ɔpɛ:
Oduaa nkɔnhyɛfo do kasae,
'Da ho kasa.
Ne mbra nsem no etsim,
Na ɔrennsesa da,
Wɔakyerɛw no nyimpa akoma do,
Po, asaase do.","Max Landsberg, 1845-1928; and Newton Mann, 1836-1926."
58,1:15:4,MHB 15:4,". Ɔdze onnyiewiei nkwa ahyɛ
Ɔkra biara mu ma;
No dɔ bɛyɛ hɛn ahoɔdzen,
Daa nyinara.
N-tonton nka Nyame!
N-tonton nka Ne dzin,
Ɔwɔ hɔ na oda ho wɔ hɔ,
Ɔtse dem daa.     Amen.","Max Landsberg, 1845-1928; and Newton Mann, 1836-1926."
59,1:16:1,MHB 16:1,". MA ndwom do: na asaase ntonton,
Wɔ ebusua na kasa m',
M-fa N'ayɛyi nsan mma No,
Ma ndwom a ɔfata no do.
Amanaman, hom nhyira Ne dzin;
Hom mma No nokwar nda edzi:
Na adzekyee biara hom nka
No nkwagye no ho asem.","Edward Churton, 1800-74"
60,1:16:2,MHB 16:2,". Hom nka no wɔ wi yi ase,
Wɔ ebusua na kasa m',
Hom nka mfi anapa ma nwin ndwe
Wɔ ndwom a ɔmmbɔ adze da m':
Hom nka dɛ hɛn Nyame dzi hen,
Ɔno na obɔɔ wiadze ntsem,
Ɔda ho ara hwɛ wiadze do
Kesi da a ɔsɛɛ bɛba.","Edward Churton, 1800-74"
61,1:16:3,MHB 16:3,". Ka kyerɛ hɔn dɛ da no reba a 
Wobobu wiadze atsɛn:
Ɔsor enyimnyam bɛhyerɛn,
'Saase, po bɛyɛ ahomka.
N-yew, epo a ɔrowor no
Bɛba ne ndze mpempem do,
Na epo asorɛkye nyina
Beyi Nyankopɔn ayɛw.","Edward Churton, 1800-74"
62,1:16:4,MHB 16:4,". Asaase do mfuw na nhyiren,
Bofura hɔn atam pa,
Na kwaamu ndua nyinara na
N-haban bɛyɛ kusuww:
Sɛ wiadze Otsɛmbuafo no
Bobu atsentsenenee no a,
N-sisi na bɔn bɔbɔ adze,
Afei nokwar bedzi hen.  Amen.","Edward Churton, 1800-74"
63,1:17:1,MHB 17:1,". ƆSƐ na ɔfata adwontow, 
Ber na bea biara mu,
Enyimnyam nka hɛn sor Hen,
Nokwar na adom Nyame:
Hɛn nyina dze ndze dɛɛdɛw
Bɔ m' wɔ ndaase kor mu dɛ;
Krɔnkrɔn, krɔnkrɔn, Ewuradze,
Ayɛyi nka Wo daa.","Charles Wesley, 1707-88."
64,1:17:2,MHB 17:2,". Hom adzekyee m-bakan,
Hom mfa hom ndze dɛɛdɛw
Nyi No ayɛw mber nyina,
Na mma ɔmmbɔ adze da;
Abɔfo na akɛse nyina,
Hom nyi Ɔkorsa ayɛw,
Hom ntow ndwom na hom ntwa nhwe
N'ahengua no enyim.","Charles Wesley, 1707-88."
65,1:17:3,MHB 17:3,". Yenye sor adwontofo a 
Woyi W'ayɛw wɔ sor,
N-kɔr atsabandofo,
Gyedzi na dɔ ntsaban:
Wɔtow Wo ndwom 'nyimnyam mu,
Ma Eguambaa a wokum Wo;
Sɛ hɛn n-dze kɔ famu a
Dza yegyina do yɛ kor.","Charles Wesley, 1707-88."
66,1:17:4,MHB 17:4,". Egya, yɛkamfo Wo dɔ a
Ɔmaa Wo Ba n' bowui;
Adom na nokwar, Jesus,
Wo na yɛntonton Wo;
Sunsum, Ɔwerɛkyekyefo,
Obiara nyi Wo ayɛw;
Nkpem dɛ yɛbɔtow ndwom,
Na asaase adan ɔsor.   Amen.","Charles Wesley, 1707-88."
67,1:18:1,MHB 18:1,". HOM mma yɛmfa enyigye adwen
Nye Ewuradze ayew, na oye:","John Milton, 1608-74"
68,1:18:2,MHB 18:2,". N'ehumbɔbɔr tsim hɔ daa,
Osi pi yɛ nokwar daa.","John Milton, 1608-74"
69,1:18:3,MHB 18:3,". Yɛmfa Ne dzin no ntahye,
Ɔyɛ enyame mu","John Milton, 1608-74"
70,1:18:4,MHB 18:4,". Ɔno na ɔhyɛɛ ma kan
Baa wiadze a wɔayɛ n' fofor n'.","John Milton, 1608-74"
71,1:18:5,MHB 18:5,". Ɔnyɛn atseasefo nyina,
Ɔma hɔn dza wohia nyina:","John Milton, 1608-74"
72,1:18:6,MHB 18:6,". Ohyira hɔn a ɔapaw hɔn
Wɔ sar a etwie no do:","John Milton, 1608-74"
73,1:18:7,MHB 18:7,". Afei yɛmfa enyigye adwen
Nyi Ewuradze ayɛw, na oye:","John Milton, 1608-74"
74,1:19:,MHB 19:,"Enyimnyam nka Egya, nye Ba, 
      Nye Sunsum, Ebiasa Kor.   Amen.","Henry  Williams Baker, 1821-77."
75,1:19:,MHB 19:,"N' ehumbɔbor tsim hɔ daa, 
      Osi pi yɛ nokwar daa.","Henry  Williams Baker, 1821-77."
76,1:19:1,MHB 19:1,". Wonyi Nyame Hen ayɛw! 
Wɔmfa ayɛyindwom mbrɛ N';","Henry  Williams Baker, 1821-77."
77,1:19:2,MHB 19:2,". Wonyi N' ayɛw: ɔayὲ ewia, 
Dὲ ɔkɔ aprɔw daa daa nyina:","Henry  Williams Baker, 1821-77."
78,1:19:3,MHB 19:3,". Na eso ɔayɛ bosoom, 
Ma odu anafua a ɔhyerɛn:","Henry  Williams Baker, 1821-77."
79,1:19:4,MHB 19:4,". Wonhyira N' dὲ ɔtɔ nyankom, 
Ma ɔma edziban fifir:","Henry  Williams Baker, 1821-77."
80,1:19:7,MHB 19:7,". Ɔama edziban a ɔsen dɛm, 
Daa daa dɛw ho ahobadze:","Henry  Williams Baker, 1821-77."
81,1:19:8,MHB 19:8,". Enyimnyam nka, Hen dɔyɛfo 
Abɔdze nyina ntow enyimnyam,","Henry  Williams Baker, 1821-77."
82,1:19:56,MHB 19:56,". Na ɔma asaase pa so 
Oyi no ndɔbaa ma hɛn:
 
. Ɔama buber so aba, 
Ɔahyɛ hɛn asan mama:","Henry  Williams Baker, 1821-77."
83,1:20:1,MHB 20:1,". AHOTSEWFO, hom mbra,
Hom nyi Otumfo n'ayɛw;
Hom mma yɛnyɛ adwen kor,
Akoma, ndze na akyen:
Abɔdze biara ntow bi,
Obiara nnka n'ano nnto m'.
Wɔmma ndzɛmba a wonnyi nkwa 
So mfa kommyɛ ntow ayɛyi.","George Wither, 1588-1667"
84,1:20:2,MHB 20:2,". Adasamba so hom mbra,
Hom mbra ma yɛntow ndwom pa;
Na beebi a nyimpa ehyia n',
Hom ndzi adwontow enyim.
Hom mma Nyame ayɛyi 
Ndwom a ɔmmbɔ adze da do:
Ama hɛn ayɛyi ndwom
Aayɛ bɛkyebo dɛ Ɔno.","George Wither, 1588-1667"
85,1:20:3,MHB 20:3,". Dɛm ntsi ofi sor dze nhyira
Bogu asaase nyina do;
Na wiadze tɛtɛr a yehu
Yɛ adwontofo asɔrdan kor;
Yɛbɛma hɛn ayɛyi ndwom
No atra mber na mbea nyina,
 Na afow edu sorsor
Otumfo kɛse n'asomu.","George Wither, 1588-1667"
86,1:21:1,MHB 21:1,". KAMFO Abraham Nyame,
Nyia odzi hen wɔ sor,
Nyia ofi tsetse tse ase,
Ɔdɔ Nyame.
Nyame Kɛse MARA! 
Sor na asaase gye to m';
Mokotow hyira dzin krɔnkrɔn n'
Wɔ afebɔɔ.","Thomas Olivers, 1725-99"
87,1:21:2,MHB 21:2,". Kamfo Abraham Nyame,
Ɔno a ɔhyɛ mbra,
Mosoer fi famu hwehwɛ enyigye
Wɔ Ne nyimfa.
Mopow wiadze nyina:
Ne nyansaa, dzin na tum,
Na medze No ye me kyɛfa,
Me kyɛm, m'aban.","Thomas Olivers, 1725-99"
88,1:21:3,MHB 21:3,". Kamfo Abraham Nyame,
Nyia N'adom no dɔɔ so;
Obegya m'menyigye nda mu,
M'akwan nyina m',
Ɔfrɛ sunsuma N'afɛ,
Frɛ Noho me Nyame;
Na ɔnam Jesus bɔgyaa do
bɛgye me nkwan.","Thomas Olivers, 1725-99"
89,1:21:4,MHB 21:4,". Ɔaka Noho ntam bi,
Migyina Ne ntam no do:
Wɔbɔsoa m' ɔkɔr ntsaban do,
Afow akɔ sor;
Hɔ na m'bohu N'enyim,
Mibedzi No tum nyi,
Na matow N'adom nwanwa ho
Ndwom afebɔɔ.","Thomas Olivers, 1725-99"
90,1:21:5,MHB 21:5,". Sɛ bɔbea ahoɔdzen sa,
Na asaase wɔ hɔ a,
Canaan nkowaa do m'enyi kyerɛ
Wɔ N'asɛm ntsi.
Menam n-su bun mu,
M'enyi tsim Jesus do;
Na menam sar huuhu no do a,
Mokɔ mo kwan.","Thomas Olivers, 1725-99"
91,1:21:6,MHB 21:6,". Muhu asaase pa a
Nhyira pii wɔ do no;
Asaase a fahodzi na daa
'Homgye wɔ do:
Numfunsu, wo, pem do,
Ngo na nsa ebu do,
Na nkwa ndua nyin prɔmm wɔ do daa,
Mbɔbɔrhu mu.","Thomas Olivers, 1725-99"
92,1:21:7,MHB 21:7,". Ewuradze Hen tse hɔ,
Ewuradze hɛn Tsenenee,
Oedzi wiadze na bɔn do nyim,
Asomdwee Hen;
Zion bepɔw no do,
N'ahendzi tsim hɔ daa,
Ɔnye N'ahotsewfo hyerɛn kan m',
Odzi hen daa.","Thomas Olivers, 1725-99"
93,1:21:8,MHB 21:8,". Ɔhwɛ Nedze do yie,
Ɔkora hɔn ntar pa fitaa dɛ
N'ayefor pa:
Ɔdze nsu a woehyira do,
Ɔdze ndua a ɔyɛ fɛw,
Ɔdze Paradisè nduadzewa,
Nyina ma hɔn.","Thomas Olivers, 1725-99"
94,1:21:9,MHB 21:9,". Korsa kɛse n'enyim
Wogyina ruhuhor No,
Na woka anwanwadze a oaye,
Hɔn asaase do:
Ɔsormba no tsie bi,
Wɔma Ne dzin tahye;
Na wɔtow ndwom a ɔmmbɔ adze da,
Dzin nwanwa no.","Thomas Olivers, 1725-99"
95,1:21:10,MHB 21:10,". Nyame a odzi hen sor,
Bɔfo mpanyimfo tow;
Wɔtsea m'Krɔnkrɔn, Krɔnkrɔn, Krɔnkrɔn,
Ɔhen Tumfo!
Mbrɛ ɔtse n' ɔnnsesa,
Na ɔbɛyɛ dɛm daa:
Jehovah, Egya, Kɛse MARA,
Yɛkotow Wo.","Thomas Olivers, 1725-99"
96,1:21:11,MHB 21:11,". Agyenkwa n'enyim hɔ,
Hɔn a wɔapon hɔn kotow;
N'adom kɛse tɔ hɔn bobor,
Daa daa nyina:
Ɔkyerɛ No dɔ akam,
Wokua ogya no mu,
Wɔpaa m'ka wo wiadze nyina,
Eguaambaa no.","Thomas Olivers, 1725-99"
97,1:21:12,MHB 21:12,". Konyimdzi dɔm nyina
Da ɔsor Nyame ase,
Hua Egya, Ba nye Sunsum Krɔnkrɔn!
Wɔtsea mu daa.
Hua Abraham Nyankopɔn!
Meka ɔsorfo ho;
Ahoɔdzen na tum nyina yɛ W'dze,
Ntonton a ɔmmbɔ adze.     Amen.","Thomas Olivers, 1725-99"
